Date,Value,Quality,Size,Default,Real Yield,Yield Curve
2020-05-22,69.37999725341797,93.2699966430664,82.9800033569336,100.88099670410156,-0.46,0.49
2020-05-26,71.76000213623047,94.7699966430664,84.93000030517578,101.07499694824219,-0.44,0.51
2020-05-27,74.18000030517578,95.8499984741211,86.66999816894531,101.16999816894531,-0.46,0.49
2020-05-28,72.44999694824219,95.56999969482422,86.26000213623047,101.18000030517578,-0.48,0.53
2020-05-29,72.4000015258789,96.0999984741211,86.4800033569336,101.38999938964844,-0.5,0.49
2020-06-01,72.69999694824219,96.41999816894531,87.44999694824219,100.9749984741211,-0.52,0.52
2020-06-02,73.47000122070312,97.16999816894531,88.31999969482422,100.97000122070312,-0.5,0.51
2020-06-03,75.2300033569336,98.62000274658203,90.52999877929688,101.49500274658203,-0.44,0.58
2020-06-04,76.2699966430664,98.05999755859375,90.62999725341797,101.41000366210938,-0.4,0.63
2020-06-05,78.86000061035156,100.5199966430664,93.41000366210938,101.69999694824219,-0.36,0.69
2020-06-08,80.55000305175781,101.43000030517578,95.16000366210938,101.66500091552734,-0.4,0.66
2020-06-09,78.81999969482422,100.41999816894531,93.27999877929688,101.55999755859375,-0.42,0.64
2020-06-10,77.0,99.81999969482422,91.4800033569336,101.69999694824219,-0.52,0.58
2020-06-11,71.36000061035156,93.9000015258789,85.51000213623047,101.34100341796875,-0.55,0.47
2020-06-12,72.80000305175781,94.91000366210938,87.04000091552734,101.54000091552734,-0.5,0.52
2020-06-15,73.08000183105469,95.38999938964844,87.9000015258789,101.73699951171875,-0.52,0.52
2020-06-16,74.44999694824219,97.16999816894531,89.55999755859375,101.78500366210938,-0.52,0.54
2020-06-17,73.51000213623047,96.73999786376953,88.94000244140625,101.74500274658203,-0.52,0.55
2020-06-18,73.31999969482422,96.66999816894531,88.94000244140625,101.70999908447266,-0.57,0.52
2020-06-19,72.88999938964844,96.11000061035156,88.3499984741211,101.63500213623047,-0.6,0.51
2020-06-22,72.87000274658203,96.76000213623047,88.48999786376953,101.3499984741211,-0.63,0.52
2020-06-23,72.87999725341797,97.29000091552734,88.58000183105469,101.51000213623047,-0.66,0.54
2020-06-24,70.62000274658203,94.66999816894531,85.70999908447266,101.37000274658203,-0.64,0.5
2020-06-25,71.2699966430664,95.52999877929688,86.68000030517578,101.57499694824219,-0.65,0.51
2020-06-26,69.69999694824219,93.06999969482422,84.86000061035156,101.33499908447266,-0.68,0.47
2020-06-29,71.13999938964844,94.45999908447266,86.31999969482422,101.36000061035156,-0.7,0.48
2020-06-30,72.27999877929688,95.91999816894531,87.58999633789062,101.42500305175781,-0.68,0.5
2020-07-01,71.55000305175781,96.43000030517578,87.52999877929688,101.08999633789062,-0.68,0.52
2020-07-02,72.0,97.0199966430664,87.97000122070312,101.19499969482422,-0.73,0.52
2020-07-06,73.02999877929688,98.41999816894531,89.0199966430664,101.2750015258789,-0.76,0.53
2020-07-07,71.62999725341797,97.22000122070312,87.7699966430664,101.42500305175781,-0.78,0.49
2020-07-08,71.8499984741211,97.76000213623047,88.31999969482422,101.3479995727539,-0.75,0.51
2020-07-09,70.37000274658203,97.08999633789062,87.13999938964844,101.32499694824219,-0.77,0.46
2020-07-10,71.98999786376953,98.08000183105469,88.33000183105469,101.58499908447266,-0.76,0.49
2020-07-13,71.80999755859375,97.25,87.68000030517578,101.36499786376953,-0.78,0.48
2020-07-14,72.81999969482422,98.62999725341797,89.05000305175781,101.33499908447266,-0.78,0.49
2020-07-15,74.27999877929688,99.91999816894531,90.91999816894531,101.69999694824219,-0.77,0.48
2020-07-16,74.47000122070312,99.44000244140625,90.79000091552734,101.57499694824219,-0.79,0.46
2020-07-17,74.54000091552734,99.87999725341797,91.19000244140625,101.80999755859375,-0.82,0.5
2020-07-20,74.13999938964844,100.33999633789062,91.02999877929688,101.93499755859375,-0.84,0.46
2020-07-21,74.80000305175781,100.75,91.66000366210938,101.98500061035156,-0.87,0.47
2020-07-22,75.41999816894531,101.55999755859375,92.37000274658203,102.24500274658203,-0.88,0.46
2020-07-23,75.37999725341797,100.44000244140625,91.95999908447266,102.12799835205078,-0.9,0.43
2020-07-24,73.37000274658203,99.41000366210938,91.2300033569336,102.11000061035156,-0.92,0.45
2020-07-27,73.54000091552734,100.12000274658203,91.83000183105469,102.16500091552734,-0.9,0.47
2020-07-28,73.25,99.36000061035156,91.13999938964844,101.9800033569336,-0.92,0.45
2020-07-29,73.94000244140625,100.41000366210938,92.68000030517578,102.4800033569336,-0.95,0.46
2020-07-30,73.31999969482422,99.94999694824219,92.12000274658203,102.49500274658203,-0.97,0.44
2020-07-31,73.04000091552734,100.66999816894531,92.0999984741211,102.6719970703125,-1.0,0.44
2020-08-03,73.44999694824219,101.0199966430664,92.69000244140625,102.53500366210938,-1.02,0.45
2020-08-04,73.98999786376953,101.38999938964844,92.9800033569336,102.54000091552734,-1.05,0.41
2020-08-05,74.2300033569336,102.37999725341797,93.80000305175781,102.56500244140625,-1.06,0.44
2020-08-06,73.86000061035156,102.98999786376953,93.6500015258789,102.54399871826172,-1.08,0.44
2020-08-07,74.70999908447266,103.2699966430664,94.19000244140625,102.63200378417969,-1.04,0.44
2020-08-10,76.08999633789062,103.5199966430664,94.9800033569336,102.57499694824219,-1.02,0.45
2020-08-11,76.0,103.0,94.77999877929688,102.42500305175781,-0.99,0.48
2020-08-12,76.37999725341797,104.29000091552734,95.41000366210938,102.29499816894531,-0.98,0.53
2020-08-13,75.5999984741211,104.04000091552734,95.12000274658203,102.0999984741211,-0.96,0.55
2020-08-14,76.02999877929688,103.98999786376953,95.20999908447266,102.02999877929688,-0.94,0.57
2020-08-17,75.88999938964844,104.30999755859375,95.44999694824219,102.04000091552734,-0.97,0.55
2020-08-18,75.41000366210938,104.36000061035156,95.08000183105469,102.11000061035156,-1.01,0.53
2020-08-19,75.36000061035156,104.04000091552734,94.63999938964844,102.1449966430664,-0.99,0.54
