Local Area,Source,Region,NAICS,Notice Link,Affected Occupation,Date Received,Union,Comments,Workforce Area,Affected Occupations,County,Projected Dates,Projected Date,Employees,County: Local  Name,NAICS Code,Notice URL,Company Contact,Closure or Layoff?,Company Address,Closure/Layoff,Location,NAICS/SIC,NEG,NAFTA/Trade,Industry,Congressional ,County/Counties,Trade,Company Name,SIC
,,Kentuckiana Works,,WARN,,2020-07-02 00:00:00,,,,,,,2020-03-20 00:00:00,150.0,Jefferson County - Louisville,722110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mQMM/MUcpqh7WMzyqGxAgtNciUI_khMYIUzsdlrg4oaWjGG8,,Layoff,,,,,,,,,,No,White Lodging Services Corporation-Marriott Louisville,
,,Out of State,,WARN,,2020-06-29 00:00:00,,,,,,,2020-01-29 00:00:00,130.0,Out of the Area County,,,,Closure,,,,,,,,,,No,"Contura Energy - Delbarton, WV",
,,Western Kentucky,,WARN,,2020-06-26 00:00:00,,,,,,,2020-07-01 00:00:00,106.0,Marshall,33331.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000m9mw/21IOaKZ0fQN7I_0htevT67jrlbdgU5ztBLIozhCwP3A,,Layoff,,,,,,,,,,No,CC Metals and Alloys,
,,Northern Kentucky,,WARN,,2020-06-26 00:00:00,,,,,,,2020-07-01 00:00:00,75.0,Kenton,721110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mAhx/.2lCf.uRSatgBcStWGGo8QoTPc.NdxS6jEu1s79MthU,,Layoff,,,,,,,,,,No,Spire Hospitality -Cincinnati Marriott at RiverCenter,
,,Bluegrass,,WARN,,2020-06-25 00:00:00,,,,,,,2020-08-28 00:00:00,52.0,Madison,336340.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000m8UX/Uiufi7Qid3OOGDALwqXmeeV4WDkOm7rq6Rc_jkBZhao,,Layoff,,,,,,,,,,No,Stemco Products Inc,
,,Kentuckiana Works,,WARN,,2020-06-16 00:00:00,,,,,,,2020-06-16 00:00:00,127.0,Jefferson,517210.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000m0hj/ncG1LQqkdvtnvX2of3ZE2UcNY2sAzm5C4kUOomgoTLg,,Layoff,,,,,,,,,,Yes,T-Mobile,
,,Northern Kentucky,,WARN,,2020-06-15 00:00:00,,,,,,,2020-08-12 00:00:00,99.0,Boone,493110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lzgt/.fnaoiWvrbSTrYPyqxB2Zx0lRhBdDvaC7xBQN7Eds7w,,Layoff,,,,,,,,,,No,RYDER TRUCK-Burlington KY,
,,Kentuckiana Works,,WARN,,2020-06-15 00:00:00,,,,,,,2020-06-12 00:00:00,5.0,Jefferson,488190.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lzgA/7J0V94vN.WBDIApE.ddY6W3JupaPtqsO0Sm4yOKqVIs,,Layoff,,,,,,,,,,No,Jacobsen|Daniel’s Enterprise Inc.-SDF,
,,Northern Kentucky,,WARN,,2020-06-12 00:00:00,,,,,,,2020-06-12 00:00:00,17.0,Boone,488190.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lyUD/xjoH5J7lvixV8k5XWXFfDFMAzFEvMzhjkUBc_NOcDE4,,Layoff,,,,,,,,,,No,Jacobsen|Daniels Enterprise - CVG,
,,Northern Kentucky,,WARN,,2020-06-09 00:00:00,,,,,,,2020-06-19 00:00:00,112.0,Boone,54130.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ltK5/mGmdMJ4AfYW7QNxF0_AREOqZ4XVSkN57abNCXyHGpKc,,Closure,,,,,,,,,,No,Arandell (CLOSED),
,,Cumberlands,,WARN,,2020-06-04 00:00:00,,,,,,,2020-05-29 00:00:00,3.0,Wayne,337110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ltW1/1Gjh.OP07QUFroiRZN.1sVjms.JilaC.s.WJwa8ObsE,,Layoff,,,,,,,,,,No,AMERICAN WOODMARK CORPORATION,
,,Northern Kentucky,,WARN,,2020-06-01 00:00:00,,,,,,,2020-03-15 00:00:00,47.0,Boone,561990.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lmSQ/XqF6EXHQEfBQ3sORf9uGJUQxnqu_fexBAMJzFYhhsN8,,Layoff,,,,,,,,,,No,Global Experience Specialists  Exposition Services Inc,
,,Kentuckiana Works,,WARN,,2020-05-23 00:00:00,,,,,,,2020-05-15 00:00:00,117.0,Jefferson County - Louisville,721110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000leL1/SnG3sVRdWjFQMCr8LETwNOCbLpaaGRlfQEhLqrDI3L8,,Layoff,,,,,,,,,,No,21c Museum Hotel Louisville - MGallery,
,,Bluegrass,,WARN,,2020-05-22 00:00:00,,,,,,,2020-05-28 00:00:00,121.0,Fayette,721110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000leLV/SG3RH__XeMSmDA.BzF5J9gLLQ9R0VtgAocKowWhdEL4,,Layoff,,,,,,,,,,No,21c Museum Hotel Lexington,
,,Western Kentucky,,WARN,,2020-05-22 00:00:00,,,,,,,2020-09-30 00:00:00,170.0,Christian,332613.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ltac/RzIOWPGwYHCFP6cxNIWDpNwrH4SL6H5XqNJy0KCDiO8,,Layoff,,,,,,,,,,TBD,"MSSC US, INC",
,,Northern Kentucky,,WARN,,2020-05-20 00:00:00,,,,,,,2020-03-23 00:00:00,70.0,Boone,532111.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000leKh/SSZJfI9pwOfVY9dgPxch0cuGIwNULpzjIEoy89uZupQ,,Layoff,,,,,,,,,,No,Enterprise Holdings,
,,Kentuckiana Works,,WARN,,2020-05-15 00:00:00,,,,,,,,,Jefferson County - Louisville,,,,Layoff,,,,,,,,,,,Enterprise,
,,Green River,,WARN,,2020-05-14 00:00:00,,,,,,,2020-07-17 00:00:00,67.0,Hancock,23840.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lUmV/WmkCtQ7Tij4dzZuY9OVvKUbUx2rR1K0Yc9Q1.WzSgic,,Closure,,,,,,,,,,No,Dal-Tile Corporation,
,,EKCEP,,WARN,,2020-05-11 00:00:00,,,,,,,2020-05-14 00:00:00,182.0,Floyd,213113.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lR01/cXvdF7z2a0tlF1RKuhux5pdFseZlVtoZeyMbXrNxjh0,,Layoff,,,,,,,,,,No,Redhawk Mining LLC,
,,South Central,,WARN,,2020-04-30 00:00:00,,,,,,,2020-03-12 00:00:00,100.0,Warren,151026.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lJaY/K6yN0iaD8yyexg6I04aZX81EefVbzH8Lf2JoojdubY4,,Layoff,,,,,,,,,,No,ATRIUM HOSPITALITY LP,
,,South Central,,WARN,,2020-04-28 00:00:00,,,,,,,2020-05-03 00:00:00,541.0,Warren,315190.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lHSh/K0STGdn5RioZCNnefjssHgRYhvyegfO5stZN_W4HKGc,,Layoff,,,,,,,,,,No,Fruit of the Loom,
,,Out of State,,WARN,,2020-04-27 00:00:00,,,,,,,2020-03-15 00:00:00,1134.0,Out of the Area County,722511.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFnJ/4P1OqyziA7PB0Bwl_6nFu_TYtWbVZmItGG0ajc_A4io,,Layoff,,,,,,,,,,No,Bloomin' Brands Inc.,
,,Cumberlands,,WARN,,2020-04-27 00:00:00,,,,,,,2020-04-27 00:00:00,179.0,Pulaski,336390.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFy7/Yv5x__FLS4A2m1cTlMmbBkJ72jQVKesqE4aS843KqbM,,Layoff,,,,,,,,,,No,Hendrickson,
,,Bluegrass,,WARN,,2020-04-27 00:00:00,,,,,,,2020-04-27 00:00:00,50.0,Fayette,423110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFvN/E_nV4ZiPQXnnjdzptfU3GYUGocuIOqaU.Y9H1GQf.O0,,Closure,,,,,,,,,,No,Copart,
,,Green River,,WARN,,2020-04-27 00:00:00,,,,,,,2020-05-04 00:00:00,398.0,Hancock,322121.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lG1B/4Fd5SUVur4FncgJi63EeLKzz9wTruSFuhn9yeHQp8b0,,Layoff,,,,,,,,,,No,Domtar Paper Company LLC,
,,Bluegrass,,WARN,,2020-04-24 00:00:00,,,,,,,2020-03-20 00:00:00,102.0,Fayette,532111.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFDB/kRPBe.4UKGSTGSllBCkX9k7zMUm.j5e7.dzfx1Or6tU,,Layoff,,,,,,,,,,No,"EAN Holdings, LLC dba/Enterprise Rent-A-Car/Alamo/National",
,,Kentuckiana Works,,WARN,,2020-04-24 00:00:00,,,,,,,2020-03-20 00:00:00,118.0,Jefferson County - Louisville,532111.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFQo/Dd0iim4d5jjd4TYBWh2lMYNeVGc37N7hRYP1WAOvxGA,,Layoff,,,,,,,,,,No,Enterprise Rent-A-Car,
