Date,DEFAULT,QUALITY,MOMENTUM,BOOK_TO_PRICE,SIZE,CASH_TO_ASSETS
9/10/10,0.0024,0.002,0.0007,0,0.0004,-0.0028
9/13/10,0.0155,-0.0123,-0.002,-0.0013,0.0065,0.0077
9/14/10,-0.0101,0.0157,0.0015,0.0004,-0.0045,0.007
9/15/10,-0.0062,0.0039,-0.0005,-0.0009,-0.0008,0.0035
9/16/10,-0.0044,0.003,0.0021,-0.0046,-0.0028,0.0067
9/17/10,-0.0016,0.0112,0.0037,-0.0015,0.0034,0.0036
9/20/10,0.0099,-0.0062,-0.001,-0.0038,0.0056,0.004
9/21/10,-0.0021,0.0038,0.001,0.0015,-0.0004,0.003
9/22/10,-0.0124,0.0085,0.0046,0.0005,-0.0013,-0.0025
9/23/10,-0.004,0.0111,0.0007,-0.0027,0.0003,0.0109
9/24/10,0.012,-0.0164,-0.0002,-0.003,-0.0012,0.0025
9/27/10,0.0032,-0.0073,0.001,-0.0026,0.004,-0.0024
9/28/10,-0.0024,0.0025,-0.0003,-0.0008,0.0012,0.0018
9/29/10,0.0032,-0.004,0.0002,-0.0011,0.004,-0.001
9/30/10,0.0099,0.0001,-0.0055,0.0049,0.0049,-0.004
10/4/10,-0.0074,0.0024,0.0039,0.0009,-0.0022,-0.0028
10/5/10,0.0082,-0.0049,0.0023,-0.0034,1.00E-04,0.0029
10/6/10,0,-0.0028,-0.0062,0.0078,0.0051,-0.0161
10/7/10,-0.0008,0.0015,0.0023,-0.0037,-0.0008,0.0028
10/8/10,0.0139,-0.0146,-0.0002,-0.001,0.0049,0.0005
10/12/10,0.0017,-0.007,-0.0027,0.0024,0.0028,0.0074
10/13/10,0.0007,0.0026,0.001,-0.0006,0.0062,-0.0045
10/14/10,-0.0131,0.0065,0.0084,0.0007,0.0045,-0.0042
10/15/10,-0.012,0.0174,0.0023,-0.0045,-0.0027,0.0062
10/18/10,0.0071,-0.0039,-0.0083,0.0025,0.005,-0.0084
10/19/10,-0.0039,0.0098,-0.0007,0.0067,-0.0022,0.0004
10/20/10,0.0057,-0.0117,-0.0004,0.0009,-0.0013,-0.0116
10/21/10,-0.0034,0.0076,0.0046,-0.0004,-0.0064,0.0017
10/22/10,0.0005,-0.0008,0.0022,-0.0051,0.0022,0.0102
10/25/10,0.0003,-0.0037,0.0034,-0.004,0.0008,0.0035
10/26/10,-0.0011,-0.0004,-0.0007,-0.0002,0.003,0.0044
10/27/10,-0.0035,0.0011,0.0005,-0.0027,-0.005,0.013
10/28/10,-0.0086,0.0029,0.0007,-0.001,-0.0047,-0.0026
10/29/10,0.0009,-0.007,0.0015,0.0006,0.0019,-0.0011
11/2/10,0.0021,-0.0028,0.0007,-0.0022,0.0059,-0.0006
11/3/10,0.0039,-0.0054,0.0011,-0.0017,-0.0008,0.0038
11/4/10,0.0161,-0.0154,-0.0031,0.001,-0.001,-0.0069
11/5/10,0.0044,-0.0092,-0.0059,0.003,0.0028,0.0039
11/8/10,-0.0036,-0.0021,0.0015,-0.0023,0.0044,0.0029
11/9/10,-0.0097,0.0155,-0.0027,0.0014,-0.0014,0.0076
11/10/10,0.0077,-0.0112,-0.0007,0.0012,0.0034,-0.0032
11/12/10,-0.0115,0.0087,-0.0023,0.0051,0.0008,0.0015
11/15/10,0.0007,0.0031,0.001,0.0013,0.001,-0.0048
11/16/10,-0.0065,0.0095,-0.0021,0.002,-0.0008,0.0029
11/17/10,-0.0025,0.0032,0.0054,-0.0023,-0.0026,-0.0016
11/18/10,-0.0013,-0.0051,0.0059,-0.0064,-0.0018,0.0036
11/19/10,0.0007,-0.0054,0.0054,-0.0015,-0.0006,-0.0003
11/22/10,-0.0061,0.0034,0.011,-0.0061,-0.0026,0.0073
11/23/10,-0.0081,0.008,0,0.0025,0.0057,0.0033
11/24/10,0.004,-0.0077,0.0069,-0.0039,-0.0022,0.0022
11/26/10,-0.004,0.0032,0.0039,0.0023,0.007,-0.0001
11/29/10,0.0044,-0.0046,-0.0029,0.002,0.0025,-0.0017
11/30/10,-0.0025,0.0022,0.0007,0.0004,-0.0009,-0.0053
12/2/10,0.0125,-0.0147,-0.0038,0.0013,-0.0062,-0.0003
12/3/10,0.0068,-0.0082,0.0008,-0.0017,0.0012,0.0075
12/6/10,0.0044,-0.0101,0.0024,0.0008,0.0067,-0.0006
12/7/10,-0.0006,0.0052,-0.0001,0.0006,0.0033,0.0026
12/8/10,0.0087,0.0036,-0.0069,-0.001,-0.0017,0.0095
12/9/10,0.011,-0.0135,-0.0001,0.0029,0.0028,-0.0027
12/10/10,0.0049,-0.0047,-0.0013,-0.001,0.0022,-0.0001
12/13/10,-0.001,0.0005,-0.0027,0.0007,-0.0004,-0.0055
12/14/10,-0.0098,0.0087,-0.0047,0.0005,-0.0016,-0.0011
12/15/10,-0.0059,0.0044,-0.0002,-0.0022,0.003,0.0017
12/16/10,-0.0005,-0.0048,0.0009,-0.0006,0.001,0.0007
12/17/10,0.008,-0.009,-0.0005,-0.0026,0.0015,0.002
12/20/10,0.0062,-0.0103,0.0006,-0.0036,-0.001,-0.0061
12/21/10,0.0143,-0.0178,0.0015,0.0048,0.0052,-0.001
12/22/10,0.0114,-0.0015,-0.0095,0.0065,0.0013,-0.006
12/23/10,-0.0066,0.0067,-0.0012,-0.001,0.0045,-0.0005
12/27/10,0.0037,-0.0061,-0.0024,0.0018,0.007,0.0002
12/28/10,-0.0006,0.0032,-0.0023,0.0012,-1.00E-04,-0.0057
12/29/10,0.0032,-0.0008,0.0023,0.0007,0.0013,-0.0026
12/30/10,0.0034,-0.0014,-0.0001,0.0001,0.0031,-0.0002
12/31/10,0.0047,-0.0035,-0.0015,0.0041,0.0013,-0.0037
1/3/11,0.0136,-0.0154,-0.0001,0.0017,0.0055,0.0018
1/4/11,-0.0002,0.0031,-0.0058,0.0039,-0.0031,0.006
1/5/11,0.0126,-0.0108,0.0012,0.0008,0.009,0.007
1/6/11,-0.0011,0.004,-0.0051,0.004,0.0026,0.015
1/7/11,-0.0031,0.002,0.0035,0.0012,-0.0026,-0.004
1/10/11,-0.0048,-0.0046,0.0068,-0.0014,0.0042,0.0042
1/11/11,0.0025,-0.0049,-0.0021,0.0014,0.0031,0.0026
1/12/11,0.005,-0.0014,-0.003,0.0006,0.0015,-0.0003
1/13/11,-0.0042,0.0029,0.0031,0.0011,0.0018,0.0004
1/14/11,0.0053,0.001,-0.0019,0.0041,0.0009,0.0071
1/18/11,-0.0045,0.003,-0.0032,0.0007,-0.0026,-0.0007
1/19/11,-0.0158,0.0229,-0.0014,0.001,-0.0097,-0.0064
1/20/11,0.001,0.0052,-0.0125,0.0037,-0.0078,-0.0059
1/21/11,0.0056,0.0021,-0.0014,0.0017,-0.0018,-0.0024
1/24/11,-0.0018,-0.0068,0.0019,-0.0027,0.0002,0.0046
1/25/11,-0.0057,0.0031,-0.0015,0.0044,-0.0004,-0.0065
1/26/11,0.0079,-0.0187,0.0125,-0.0004,0.0099,0.0022
1/27/11,0.0041,-0.0009,0.0003,0.0045,-0.0018,0.0038
1/28/11,-0.0088,0.0019,-0.0017,0.0043,-0.0045,-0.0103
1/31/11,-0.0005,-0.0099,0.006,-0.004,-0.0033,-0.0069
2/2/11,-0.0008,0.0023,0,-0.0012,0.0022,0.0078
2/3/11,0.0036,-0.0009,0.0008,-0.0011,-0.0031,-0.0053
2/4/11,0.0007,0.0046,0.0004,-0.0031,-0.0038,0.0137
2/7/11,0.0095,-0.0068,0.0025,0.0005,0.003,-0.0039
2/8/11,0.0013,-0.0017,0.0014,-0.0003,0.0007,0.0013
2/9/11,-0.0043,0.0097,-0.0005,0.0046,0.0005,0.0011
2/10/11,0.0015,-0.0083,0.0079,-0.0027,-0.0028,0.0016
2/11/11,0.0076,-0.0081,0.0045,0.0014,0.0008,0.0019
2/14/11,0.0021,-0.0067,0.0054,-0.0038,0.0006,0
2/15/11,0.0014,0.0034,-0.0029,0.0022,-0.0014,-0.0044
2/16/11,0.0082,-0.0076,0.001,-0.0024,-0.0016,0.0005
2/17/11,0.0011,-0.0034,0.0013,0.0005,0.0037,0.0013
2/18/11,-0.0054,0.0119,-0.005,0.0008,0.0003,-0.0017
2/22/11,-0.0204,0.0213,-0.008,0.0061,0.0016,-0.0127
2/23/11,-0.0007,-0.0034,-0.0023,0.0045,-0.0024,-0.0148
2/24/11,0,0.003,0.0038,-0.0033,0.0041,0.0131
2/25/11,0.007,-0.0142,0.0067,-0.0008,0.0035,-0.0001
2/28/11,-0.0034,-0.0044,-0.0021,0.0009,-0.0028,-0.0123
3/2/11,-0.0011,-0.0017,0.0054,-0.0032,0.0002,0.0099
3/3/11,0.0009,-0.0085,0.008,-0.0069,-0.0031,0.0062
3/4/11,-0.0051,0.0032,0.0032,-0.0021,0.0033,0.0018
3/7/11,-0.0043,0.0061,-0.0034,0.0034,-0.0023,-0.006
3/8/11,0.0093,-0.0093,-0.0043,0.0006,0.0028,-0.0015
3/9/11,-0.0032,0.0039,-0.0088,0.0004,-0.0021,-0.0106
3/10/11,0.0012,0.0116,-0.0077,0.0002,-0.0064,0.0011
3/11/11,0.0024,-0.0121,0.0032,-0.0001,-0.0085,0.0003
3/14/11,-0.003,0.0012,0.0029,-0.0002,-0.0023,-0.0041
3/15/11,0.0045,-0.0033,0.0024,-0.0008,-0.0022,0
3/16/11,-0.0035,0.0004,-0.0002,0.0011,0.0061,-0.0017
3/17/11,-0.0008,-0.0059,0.0058,0.003,-0.0049,-0.0076
3/18/11,0.0025,-0.0068,-0.0047,-0.0012,0.0062,-0.0016
3/21/11,-0.001,-0.0026,0.0127,-0.0012,0.0028,-0.0005
3/22/11,-0.003,0.0038,-0.0017,0.0011,0.0039,0.0009
3/23/11,0.0006,0.0001,0.0047,-0.0033,0.0006,0.0088
3/24/11,0.0014,-0.0013,0.0027,-0.0056,-0.0054,0.0134
3/25/11,0.0005,-0.0075,0.0063,-0.0006,0.0009,-0.0042
3/28/11,-0.0014,0.0035,-0.0016,-0.001,0.0034,0.002
3/29/11,-0.0062,0,0.0053,-0.0033,-0.0015,-0.0005
3/30/11,-0.0001,0.0012,0.0024,-0.002,-0.0014,-0.0038
3/31/11,-0.0076,0.0028,0.0023,0.0014,0.0052,-0.0012
4/4/11,-0.0006,0.0006,0.0014,-0.0022,-0.0004,-0.0037
4/5/11,0.0056,-0.0062,-0.0006,-0.0033,0.0018,0.0111
4/6/11,0.001,0.0046,-0.012,0.0044,0.0018,0.0049
4/7/11,-0.0007,0.0037,-0.0009,-0.0002,-0.001,0.0024
4/8/11,-0.0032,0.0035,0.0009,1.00E-04,-0.0025,0.0002
4/11/11,-0.0043,0.0133,-0.0053,0.0007,-0.0046,0.005
4/12/11,0.0007,0.0058,-0.0071,0.0019,-0.0057,0.0061
4/13/11,-0.0026,0.0011,0.0092,-0.0029,-0.0024,0.0025
4/14/11,-0.003,-0.0011,0.0028,-0.0021,0.0037,-0.0059
4/15/11,0.0019,-0.003,0.0019,-0.0036,-0.0007,-0.0062
4/18/11,-0.0037,0.0063,-0.0037,0,-0.0011,0.0002
4/19/11,0.0017,-0.0071,0.0035,0.0022,-0.0033,-0.0033
4/20/11,-0.0064,0.0037,0.007,-0.0062,-0.0032,0.0087
4/21/11,0.007,-0.007,0.0079,-0.0028,-0.0012,0.0027
4/25/11,0.0021,-0.0006,-0.0019,-0.0005,0.0013,0
4/26/11,-0.0058,0.0006,-0.0038,-0.0033,-0.0033,-0.0008
4/27/11,-0.0016,0.0071,-0.0011,0.0004,-0.0008,0.0011
4/28/11,-0.0044,0.0039,-0.0027,-0.0015,-0.001,-0.0051
4/29/11,0.0049,-0.0084,0.0065,-0.001,0.0012,-0.0073
