Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,,,,,,,
Biogen Inc.,BIIB,09062X10,2455965,0.087265,Health Care,1579142,USD,,,,,,,,,,
PPG Industries Inc.,PPG,69350610,2698470,0.087082,Materials,2548020,USD,,,,,,,,,,
Albemarle Corporation,ALB,01265310,2046853,0.086659,Materials,1255645,USD,,,,,,,,,,
ResMed Inc.,RMD,76115210,2732903,0.086160,Health Care,1575812,USD,,,,,,,,,,
LyondellBasell Industries NV,LYB,N5374510,B3SPXZ3,0.085478,Materials,2833078,USD,,,,,,,,,,
T. Rowe Price Group,TROW,74144T10,2702337,0.085367,Financials,2469880,USD,,,,,,,,,,
ONEOK Inc.,OKE,68268010,2130109,0.085228,Energy,4785271,USD,,,,,,,,,,
Cummins Inc.,CMI,23102110,2240202,0.084911,Industrials,1541612,USD,,,,,,,,,,
PACCAR Inc,PCAR,69371810,2665861,0.084871,Industrials,3727650,USD,,,,,,,,,,
Weyerhaeuser Company,WY,96216610,2958936,0.084808,Real Estate,8048580,USD,,,,,,,,,,
eBay Inc.,EBAY,27864210,2293819,0.084624,Consumer Discretionary,6729797,USD,,,,,,,,,,
Mettler-Toledo International Inc.,MTD,59268810,2126249,0.084495,Health Care,248123,USD,,,,,,,,,,
AvalonBay Communities Inc.,AVB,05348410,2131179,0.083339,Real Estate,1499065,USD,,,,,,,,,,
Republic Services Inc.,RSG,76075910,2262530,0.081890,Industrials,2256082,USD,,,,,,,,,,
Coterra Energy Inc.,CTRA,12709710,2162340,0.081756,Energy,8719621,USD,,,,,,,,,,
Verisk Analytics Inc,VRSK,92345Y10,B4P9W92,0.081406,Industrials,1731850,USD,,,,,,,,,,
Cerner Corporation,CERN,15678210,2185284,0.081170,Health Care,3172571,USD,,,,,,,,,,
AMETEK Inc.,AME,03110010,2089212,0.080897,Industrials,2482240,USD,,,,,,,,,,
SVB Financial Group,SIVB,78486Q10,2808053,0.080557,Financials,629243,USD,,,,,,,,,,
Aptiv PLC,APTV,G6095L10,B783TY6,0.079965,Consumer Discretionary,2904326,USD,,,,,,,,,,
CBRE Group Inc. Class A,CBRE,12504L10,B6WVMH3,0.079918,Real Estate,3604818,USD,,,,,,,,,,
First Republic Bank,FRC,33616C10,B4WHY15,0.079916,Financials,1928517,USD,,,,,,,,,,
DexCom Inc.,DXCM,25213110,B0796X4,0.078862,Health Care,1038517,USD,,,,,,,,,,
